url,id,node_id,number,state,created_at,updated_at,closed_at,merged_at,merge_commit_sha,commits,additions,deletions,changed_files,user.login,user.id,user.type,head.sha,head.user.login,head.user.id,head.user.type,head.repo.id,base.label,base.sha,base.repo.created_at,base.repo.updated_at,base.repo.pushed_at
https://api.github.com/repos/apache/shiro/pulls/902,1381284976,PR_kwDOAARy8s5SVLxw,902,closed,2023-06-06T18:05:08Z,2023-06-06T19:20:38Z,2023-06-06T19:20:27Z,2023-06-06T19:20:27Z,ffebeb42a0821eef1747c34cd1a7d8abad52b1ea,1,1,1,1,dependabot[bot],49699333,Bot,bdd9a8fd8b49f67980e5b3d97ae9c871f9f2d7fd,apache,47359,Organization,291570.0,apache:1.11.x,ffde5e8cb99ae70723b40b7e8ea70131773db333,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/901,1381284618,PR_kwDOAARy8s5SVLsK,901,closed,2023-06-06T18:04:52Z,2023-06-06T19:54:59Z,2023-06-06T19:54:49Z,2023-06-06T19:54:49Z,c00020c95f25810aaed144086370282511eaf506,1,1,1,1,dependabot[bot],49699333,Bot,e053bd245a67d423df6a5228881ba600e3d82b92,apache,47359,Organization,291570.0,apache:1.11.x,ffde5e8cb99ae70723b40b7e8ea70131773db333,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/900,1381281542,PR_kwDOAARy8s5SVK8G,900,closed,2023-06-06T18:02:29Z,2023-06-06T19:18:34Z,2023-06-06T19:18:25Z,2023-06-06T19:18:25Z,ad1cc72b44b7943ec873607eb08ae7a117f8540e,1,1,1,1,dependabot[bot],49699333,Bot,e44007b81f8643d9187bebfcc1076413f8987275,apache,47359,Organization,291570.0,apache:main,96599e71c3cca3044f34ba2093d358133d39746a,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/899,1381281212,PR_kwDOAARy8s5SVK28,899,closed,2023-06-06T18:02:12Z,2023-06-06T19:18:22Z,2023-06-06T19:18:13Z,2023-06-06T19:18:12Z,ab4da42313185f2394090c767f0c5d3cf4a55af0,1,1,1,1,dependabot[bot],49699333,Bot,a3224ea3ae6a26e98b0d0f23838aa8897b0212c5,apache,47359,Organization,291570.0,apache:main,96599e71c3cca3044f34ba2093d358133d39746a,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/895,1376133512,PR_kwDOAARy8s5SBiGI,895,closed,2023-06-02T18:02:53Z,2023-06-02T18:17:34Z,2023-06-02T18:17:31Z,,59942d2adf38eb7ffed87f86e7001dc37e72e3f0,1,1,1,1,dependabot[bot],49699333,Bot,8d971d87cbacda097ca160b9ce2a5d2effab107f,apache,47359,Organization,291570.0,apache:main,96599e71c3cca3044f34ba2093d358133d39746a,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/894,1374540982,PR_kwDOAARy8s5R7dS2,894,closed,2023-06-01T18:02:31Z,2023-06-01T18:21:05Z,2023-06-01T18:20:56Z,2023-06-01T18:20:56Z,96599e71c3cca3044f34ba2093d358133d39746a,1,4,4,2,dependabot[bot],49699333,Bot,b68fffc88c82e7d6e9a2501cbe29a56ecc73c6c1,apache,47359,Organization,291570.0,apache:main,420ccf82a4d7b39326e7e0d53103e77e5e324c57,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/893,1372681446,PR_kwDOAARy8s5R0XTm,893,closed,2023-05-31T18:12:54Z,2023-05-31T18:56:26Z,2023-05-31T18:56:15Z,2023-05-31T18:56:15Z,ffde5e8cb99ae70723b40b7e8ea70131773db333,1,1,1,1,dependabot[bot],49699333,Bot,be5f4f7785bde975a85a9b8121f74a34047ff988,apache,47359,Organization,291570.0,apache:1.11.x,169479625faf3fa57fcdac1df5150b3e7881643b,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/892,1372667522,PR_kwDOAARy8s5R0T6C,892,closed,2023-05-31T18:03:10Z,2023-05-31T18:56:04Z,2023-05-31T18:55:56Z,2023-05-31T18:55:56Z,420ccf82a4d7b39326e7e0d53103e77e5e324c57,1,1,1,1,dependabot[bot],49699333,Bot,553427b16d7d171130ce8aebe0846a2919da485e,apache,47359,Organization,291570.0,apache:main,b5dae02be2cb51c70f9073e04f57b0dfc878ac18,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/890,1369433718,PR_kwDOAARy8s5Rn-Z2,890,closed,2023-05-29T18:05:51Z,2023-05-29T18:48:26Z,2023-05-29T18:48:15Z,2023-05-29T18:48:15Z,8542bf5291d93bb694093ab7cd81dd4df34477d8,1,1,1,1,dependabot[bot],49699333,Bot,3e3e93a6f8d88e867b792f608f1ffd1abe408f11,apache,47359,Organization,291570.0,apache:main,b597f48f6a669eb3012de6e4e5eb5de50a4499db,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/889,1369431180,PR_kwDOAARy8s5Rn9yM,889,closed,2023-05-29T18:03:34Z,2023-05-29T18:48:10Z,2023-05-29T18:48:01Z,2023-05-29T18:48:01Z,169479625faf3fa57fcdac1df5150b3e7881643b,1,1,1,1,dependabot[bot],49699333,Bot,46e24f598d9803ed2c9899f4f5851e8a2f5456c5,apache,47359,Organization,291570.0,apache:1.11.x,43c256a9a645176ea2304a5f9b7c98a83d0f06d2,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/888,1369430440,PR_kwDOAARy8s5Rn9mo,888,closed,2023-05-29T18:02:55Z,2023-05-29T18:48:00Z,2023-05-29T18:47:51Z,2023-05-29T18:47:51Z,1eafe0f77d61004d80bbc220c5325af53474c743,1,1,1,1,dependabot[bot],49699333,Bot,77de19c88e71704643e2467e52489c9298e014e6,apache,47359,Organization,291570.0,apache:main,b597f48f6a669eb3012de6e4e5eb5de50a4499db,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/887,1367155283,PR_kwDOAARy8s5RfSJT,887,closed,2023-05-27T08:34:36Z,2023-05-30T09:49:03Z,2023-05-30T09:49:02Z,2023-05-30T09:49:02Z,b5dae02be2cb51c70f9073e04f57b0dfc878ac18,1,13,10,2,bmarwell,1413391,User,fcf49f1f194e098efe42bcdf7cae98db06200f59,apache,47359,Organization,291570.0,apache:main,b597f48f6a669eb3012de6e4e5eb5de50a4499db,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/886,1366710766,PR_kwDOAARy8s5Rdlnu,886,closed,2023-05-26T18:00:33Z,2023-05-26T21:16:06Z,2023-05-26T21:15:57Z,2023-05-26T21:15:57Z,b597f48f6a669eb3012de6e4e5eb5de50a4499db,1,4,4,2,dependabot[bot],49699333,Bot,11e269807564d60f4b74a0ca712d6e204c8a2933,apache,47359,Organization,291570.0,apache:main,b1228f73f65fbfefbbdd501e5626a960e74db4bc,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/885,1365130090,PR_kwDOAARy8s5RXjtq,885,closed,2023-05-25T18:01:03Z,2023-05-25T18:21:56Z,2023-05-25T18:21:47Z,2023-05-25T18:21:47Z,b1228f73f65fbfefbbdd501e5626a960e74db4bc,1,4,4,2,dependabot[bot],49699333,Bot,cb74949bec7e3aac107156b69f9a899f9eef2c11,apache,47359,Organization,291570.0,apache:main,7f68242202d3242d7a179091c6ae2973ed59248b,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/884,1365129027,PR_kwDOAARy8s5RXjdD,884,closed,2023-05-25T18:00:07Z,2023-05-25T18:21:38Z,2023-05-25T18:21:29Z,2023-05-25T18:21:29Z,b78a95fb23ea4b8fb4d2a6c27a60e81905525f41,1,1,1,1,dependabot[bot],49699333,Bot,e702d951a00ceac67c92084eb6c7243c491154c4,apache,47359,Organization,291570.0,apache:main,7f68242202d3242d7a179091c6ae2973ed59248b,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/883,1363575226,PR_kwDOAARy8s5RRoG6,883,closed,2023-05-24T18:03:02Z,2023-05-24T20:02:50Z,2023-05-24T20:02:41Z,2023-05-24T20:02:41Z,43c256a9a645176ea2304a5f9b7c98a83d0f06d2,1,1,1,1,dependabot[bot],49699333,Bot,1207918f674dc1c03953648af0e1b67622dc9e18,apache,47359,Organization,291570.0,apache:1.11.x,fed6b79694c976e63552908f452c6af4e8e3488e,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/882,1363574729,PR_kwDOAARy8s5RRn_J,882,closed,2023-05-24T18:02:36Z,2023-05-24T20:03:03Z,2023-05-24T20:02:53Z,2023-05-24T20:02:53Z,7f68242202d3242d7a179091c6ae2973ed59248b,1,1,1,1,dependabot[bot],49699333,Bot,de72633bed21fed4a8c38ce0877b782887f48240,apache,47359,Organization,291570.0,apache:main,34df89eb6a4d5d87994f2c1f0e9719f65e67a5c5,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/881,1356090565,PR_kwDOAARy8s5Q1EzF,881,closed,2023-05-18T18:08:12Z,2023-05-18T18:37:13Z,2023-05-18T18:37:04Z,2023-05-18T18:37:04Z,34df89eb6a4d5d87994f2c1f0e9719f65e67a5c5,1,1,1,1,dependabot[bot],49699333,Bot,23913a6552c234eab64a5c9c2a88f3633e8ade9b,apache,47359,Organization,291570.0,apache:main,4d474ea06180ce630920d41f8d61ee9d1a876681,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/880,1356081780,PR_kwDOAARy8s5Q1Cp0,880,closed,2023-05-18T18:03:41Z,2023-05-18T18:37:03Z,2023-05-18T18:36:54Z,2023-05-18T18:36:54Z,fed6b79694c976e63552908f452c6af4e8e3488e,1,1,1,1,dependabot[bot],49699333,Bot,c6c670be522f63578c12ae86fed1fdeccc50ea03,apache,47359,Organization,291570.0,apache:1.11.x,829a4d051a0dbadb3934b7fa221aa5aafb2d3437,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/879,1356078741,PR_kwDOAARy8s5Q1B6V,879,closed,2023-05-18T18:01:31Z,2023-05-18T18:36:54Z,2023-05-18T18:36:44Z,2023-05-18T18:36:44Z,82204c016bcd81b8a7a0d8a3b93b42981c515952,1,2,2,2,dependabot[bot],49699333,Bot,dd9f478912807bd1b16869a418ca95860e1bc946,apache,47359,Organization,291570.0,apache:main,4d474ea06180ce630920d41f8d61ee9d1a876681,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/878,1352921509,PR_kwDOAARy8s5Qo_Gl,878,closed,2023-05-16T18:03:37Z,2023-06-07T18:25:27Z,2023-06-07T18:03:31Z,,74ccfb096f53a63260fc48550361ce3e72566360,1,1,1,1,dependabot[bot],49699333,Bot,e501cedaa483b46228e5d89168e60de082874427,apache,47359,Organization,291570.0,apache:main,6239230c0b6f628ae87c247e4f79c212cd1f75ce,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/877,1352919017,PR_kwDOAARy8s5Qo-fp,877,closed,2023-05-16T18:02:12Z,2023-05-16T18:26:49Z,2023-05-16T18:26:40Z,2023-05-16T18:26:40Z,4d474ea06180ce630920d41f8d61ee9d1a876681,1,1,1,1,dependabot[bot],49699333,Bot,ef2db9156b5afa0e19a465ae59f1ef0a5d99c10c,apache,47359,Organization,291570.0,apache:main,6239230c0b6f628ae87c247e4f79c212cd1f75ce,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/876,1351235345,PR_kwDOAARy8s5QijcR,876,closed,2023-05-15T18:13:58Z,2023-05-15T18:31:57Z,2023-05-15T18:31:47Z,2023-05-15T18:31:47Z,829a4d051a0dbadb3934b7fa221aa5aafb2d3437,1,1,1,1,dependabot[bot],49699333,Bot,6ca834a932d94d3aa5d06631ef9fda7218849f6a,apache,47359,Organization,291570.0,apache:1.11.x,073d70f8b92d3d1d7747d5e716705fb97d511c65,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/875,1351216059,PR_kwDOAARy8s5Qieu7,875,closed,2023-05-15T18:00:34Z,2023-05-15T18:31:33Z,2023-05-15T18:31:22Z,2023-05-15T18:31:22Z,6239230c0b6f628ae87c247e4f79c212cd1f75ce,1,1,1,1,dependabot[bot],49699333,Bot,ab6573f55d12b7def2adf625506bde790e2667c0,apache,47359,Organization,291570.0,apache:main,5dc8082d39d9b29b77a3dbd3d209d98f031d1fe3,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/874,1349026529,PR_kwDOAARy8s5QaILh,874,closed,2023-05-12T18:04:07Z,2023-05-12T18:16:50Z,2023-05-12T18:16:41Z,2023-05-12T18:16:41Z,073d70f8b92d3d1d7747d5e716705fb97d511c65,1,1,1,1,dependabot[bot],49699333,Bot,a09702d425a573a9ce0c1270f339580af23d673a,apache,47359,Organization,291570.0,apache:1.11.x,9f475346e1755cf1dbdf2554185a06b5e566484c,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/873,1349023799,PR_kwDOAARy8s5QaHg3,873,closed,2023-05-12T18:01:26Z,2023-05-12T18:17:02Z,2023-05-12T18:16:54Z,2023-05-12T18:16:53Z,bab861ee84482def274135a66edf67aae10847af,1,1,1,1,dependabot[bot],49699333,Bot,10b0f59cba4e959f83703e03f7a46775e0ac44d5,apache,47359,Organization,291570.0,apache:main,c222ce76ef1602b70d1cad9ed0f062243571e0b7,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/872,1345848834,PR_kwDOAARy8s5QOAYC,872,closed,2023-05-10T18:06:50Z,2023-05-10T20:08:08Z,2023-05-10T20:07:58Z,2023-05-10T20:07:58Z,c222ce76ef1602b70d1cad9ed0f062243571e0b7,1,1,1,1,dependabot[bot],49699333,Bot,1b25f61b4e167157fcb63fefbf45e13b7bcaa0b7,apache,47359,Organization,291570.0,apache:main,20bed1971bf7e5bab9e0428d8f035fc7a156669f,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/871,1344163906,PR_kwDOAARy8s5QHlBC,871,closed,2023-05-09T18:04:56Z,2023-05-09T19:15:07Z,2023-05-09T19:14:58Z,2023-05-09T19:14:58Z,9f475346e1755cf1dbdf2554185a06b5e566484c,1,1,1,1,dependabot[bot],49699333,Bot,ac4a6b9872388ca824d877c58b41c4f08473a920,apache,47359,Organization,291570.0,apache:1.11.x,8ea945a94437a913bced867e6bce82849f75bd72,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/870,1344156916,PR_kwDOAARy8s5QHjT0,870,closed,2023-05-09T18:00:37Z,2023-05-09T19:15:55Z,2023-05-09T19:15:46Z,2023-05-09T19:15:46Z,20bed1971bf7e5bab9e0428d8f035fc7a156669f,1,1,1,1,dependabot[bot],49699333,Bot,f4cfe81a96a04f61cc4aa4efc4048c002f3d2824,apache,47359,Organization,291570.0,apache:main,b527501fa7ab7dbc7ac86c128b5bb476f6513ea4,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/869,1344156771,PR_kwDOAARy8s5QHjRj,869,closed,2023-05-09T18:00:30Z,2023-05-09T19:15:43Z,2023-05-09T19:15:35Z,2023-05-09T19:15:35Z,214ad8b3ed2d8c0d71045e9b2abda8c17d2f703c,1,1,1,1,dependabot[bot],49699333,Bot,f774d09e131d490b61e2805482c6fcc49bb8361d,apache,47359,Organization,291570.0,apache:main,b527501fa7ab7dbc7ac86c128b5bb476f6513ea4,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/868,1344155753,PR_kwDOAARy8s5QHjBp,868,closed,2023-05-09T17:59:56Z,2023-05-09T19:15:28Z,2023-05-09T19:15:19Z,2023-05-09T19:15:19Z,f338ef5c72c2b8660d4b0a37a1ef8655d8e6641a,1,1,1,1,dependabot[bot],49699333,Bot,af770a9779caa1748defea99469545f2137c3cb5,apache,47359,Organization,291570.0,apache:main,b527501fa7ab7dbc7ac86c128b5bb476f6513ea4,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/867,1342567682,PR_kwDOAARy8s5QBfUC,867,closed,2023-05-08T18:05:45Z,2023-05-08T18:50:23Z,2023-05-08T18:50:13Z,2023-05-08T18:50:13Z,e8c144b63c7c4db8c59dc631efc0fda0b119ef73,1,1,1,1,dependabot[bot],49699333,Bot,200e49ec1d12e1472f8f563d2a53d4e39180ccb8,apache,47359,Organization,291570.0,apache:1.11.x,dd826a69eb6c2e951229fc0d0fecd789a6529431,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/866,1342567209,PR_kwDOAARy8s5QBfMp,866,closed,2023-05-08T18:05:29Z,2023-05-08T18:51:46Z,2023-05-08T18:51:37Z,2023-05-08T18:51:37Z,8ea945a94437a913bced867e6bce82849f75bd72,1,1,1,1,dependabot[bot],49699333,Bot,7dac6a5aa3b58e53b30e0cc08e7f4f4bb1f16e95,apache,47359,Organization,291570.0,apache:1.11.x,dd826a69eb6c2e951229fc0d0fecd789a6529431,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/865,1342567139,PR_kwDOAARy8s5QBfLj,865,closed,2023-05-08T18:05:27Z,2023-05-08T18:46:39Z,2023-05-08T18:46:31Z,2023-05-08T18:46:30Z,e832bf9b823e6a7e95358151eb78d2e61b4c7635,1,1,1,1,dependabot[bot],49699333,Bot,2e7cdb583af8440a401dfd4c0ddca3cf504ce6d2,apache,47359,Organization,291570.0,apache:1.11.x,dd826a69eb6c2e951229fc0d0fecd789a6529431,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/864,1340218778,PR_kwDOAARy8s5P4h2a,864,closed,2023-05-05T18:03:24Z,2023-05-05T18:18:15Z,2023-05-05T18:18:13Z,,caf3130891e751689ff2544bbc0a5c25ad5740ec,1,1,1,1,dependabot[bot],49699333,Bot,9f1802b747c08e45360aa99504a8dcf5f408933a,apache,47359,Organization,291570.0,apache:main,99a6db1cdb6a9a7ebac11cc97302b5d2f5477ff6,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/863,1340216450,PR_kwDOAARy8s5P4hSC,863,closed,2023-05-05T18:01:22Z,2023-05-05T18:18:41Z,2023-05-05T18:18:32Z,2023-05-05T18:18:32Z,b527501fa7ab7dbc7ac86c128b5bb476f6513ea4,1,4,4,2,dependabot[bot],49699333,Bot,1a2a306be573b2e7d0717dd2f9cde8c963a6a48e,apache,47359,Organization,291570.0,apache:main,99a6db1cdb6a9a7ebac11cc97302b5d2f5477ff6,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/862,1336198711,PR_kwDOAARy8s5PpMY3,862,closed,2023-05-03T06:53:28Z,2023-05-04T03:34:39Z,2023-05-04T03:34:26Z,2023-05-04T03:34:25Z,99a6db1cdb6a9a7ebac11cc97302b5d2f5477ff6,1,6,0,4,lprimak,1002484,User,59f2e9c4bd8232b6b4e525239ed13508fdd03cbd,lprimak,1002484,User,532749511.0,apache:main,d64f92a12d999d8bc1d6a229a9656c5aec2d58e7,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/861,1334096428,PR_kwDOAARy8s5PhLIs,861,closed,2023-05-01T18:01:53Z,2023-05-01T19:05:16Z,2023-05-01T19:05:07Z,2023-05-01T19:05:07Z,7aa23c8b1aee7da8d7544806f31ee2204801e3a5,1,1,1,1,dependabot[bot],49699333,Bot,76adaef3832b725c588927003600b0849a88d508,apache,47359,Organization,291570.0,apache:main,7e44e6f6542e7ba12434285055c385d18b5c56d2,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/860,1332226062,PR_kwDOAARy8s5PaCgO,860,closed,2023-04-28T18:01:05Z,2023-04-28T18:21:04Z,2023-04-28T18:20:55Z,2023-04-28T18:20:55Z,7e44e6f6542e7ba12434285055c385d18b5c56d2,1,4,4,2,dependabot[bot],49699333,Bot,752030c91e237bac4348adbb7077787a0867c7de,apache,47359,Organization,291570.0,apache:main,cbfcfddce6351f5b8e27aac831db6fe213cf0598,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/859,1330738529,PR_kwDOAARy8s5PUXVh,859,closed,2023-04-27T17:20:31Z,2023-04-27T18:19:15Z,2023-04-27T18:19:05Z,2023-04-27T18:19:05Z,7b08f44df4dfb965a935988560e84429e648cd77,1,4,4,2,dependabot[bot],49699333,Bot,9fc16c11a4f0aba07e0592e1660e7068ea4493e1,apache,47359,Organization,291570.0,apache:main,a99987a388ed51c1462dab6628f405d7ebe0c30a,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/858,1329165532,PR_kwDOAARy8s5POXTc,858,closed,2023-04-26T18:01:06Z,2023-04-26T19:07:15Z,2023-04-26T19:07:06Z,2023-04-26T19:07:06Z,a99987a388ed51c1462dab6628f405d7ebe0c30a,1,1,1,1,dependabot[bot],49699333,Bot,f83d58f048f3f845fa4b96102522b4a78658c26a,apache,47359,Organization,291570.0,apache:main,067ad74aaa4045fd4009244b98a46ca393d2c4c0,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/857,1329165190,PR_kwDOAARy8s5POXOG,857,closed,2023-04-26T18:00:50Z,2023-04-26T19:06:58Z,2023-04-26T19:06:48Z,2023-04-26T19:06:48Z,c4913c55f30ad9c262e1ac1c320f05ab2c417670,1,1,1,1,dependabot[bot],49699333,Bot,d4661d1967a5fe389fb7a1a66561cf235e8995e7,apache,47359,Organization,291570.0,apache:main,067ad74aaa4045fd4009244b98a46ca393d2c4c0,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/856,1327528196,PR_kwDOAARy8s5PIHkE,856,closed,2023-04-25T18:03:35Z,2023-04-25T18:18:07Z,2023-04-25T18:17:58Z,2023-04-25T18:17:58Z,dd826a69eb6c2e951229fc0d0fecd789a6529431,1,1,1,1,dependabot[bot],49699333,Bot,c9e9175cbfe7beee8addfc83b6997c0f25205eab,apache,47359,Organization,291570.0,apache:1.11.x,42464202a42b7d9dcd97508b24458ad382bf115e,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/855,1327524457,PR_kwDOAARy8s5PIGpp,855,closed,2023-04-25T18:00:39Z,2023-04-25T18:22:43Z,2023-04-25T18:22:34Z,2023-04-25T18:22:34Z,067ad74aaa4045fd4009244b98a46ca393d2c4c0,1,1,1,1,dependabot[bot],49699333,Bot,92371a6c533e3814b717bade2177cd98201bdcc3,apache,47359,Organization,291570.0,apache:main,39241174d34fbd0bf913b61cfc136ddff89f16ae,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/854,1325906109,PR_kwDOAARy8s5PB7i9,854,closed,2023-04-24T18:04:42Z,2023-04-24T18:26:04Z,2023-04-24T18:25:54Z,2023-04-24T18:25:54Z,39241174d34fbd0bf913b61cfc136ddff89f16ae,1,4,4,2,dependabot[bot],49699333,Bot,7d234238c2274a6bd7a8593fed00c38a9e0c3224,apache,47359,Organization,291570.0,apache:main,d7e3ed81cb0087d048a018e7e8e2af1ac571cb2d,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
https://api.github.com/repos/apache/shiro/pulls/853,1323432177,PR_kwDOAARy8s5O4fjx,853,closed,2023-04-21T18:11:06Z,2023-04-21T18:43:08Z,2023-04-21T18:42:59Z,2023-04-21T18:42:59Z,d7e3ed81cb0087d048a018e7e8e2af1ac571cb2d,1,1,1,1,dependabot[bot],49699333,Bot,81cc2f782aa95fcc6e9edcc5a978b4eecba6c8d0,apache,47359,Organization,291570.0,apache:main,80746f304355bdde7421f4149365a950d68d1b71,2009-08-29T08:00:17Z,2023-06-09T08:45:54Z,2023-06-07T18:03:32Z
