,col_name,sores_list,precision_score,recall_score,f1_score,precision_macro,recall_macro,f1_macro
0,"['D_change', 'C_change', 'D_percent', 'B_percent', 'CP_percent', 'C_percent', 'OOA_percent']",[0.64018692 0.63551402 0.64018692 0.51173709 0.43192488],0.5633482203666546,0.5720973782771536,0.5676365946101936,0.3054250230895939,0.3065946570167747,0.3059295939179402
1,"['D_change', 'D_percent', 'C_percent']",[0.6635514  0.62149533 0.6682243  0.60093897 0.61032864],0.5526579930972333,0.6329588014981273,0.5845568068803366,0.34982657606072426,0.34555464181286544,0.33766772051057137
2,"['D_change', 'C_percent']",[0.69158879 0.67757009 0.6588785  0.52112676 0.68075117],0.5354974548330679,0.6460674157303371,0.5785110059537383,0.3359445385532342,0.3297925804093567,0.31321951613493254
3,"['D_change', 'CP_change', 'D_percent', 'B_percent', 'OOA_percent']",[0.6728972  0.59345794 0.60280374 0.52112676 0.38028169],0.5479204829916975,0.5543071161048689,0.5510723994756982,0.2727107006540003,0.27521275392574635,0.2738557838089807
4,"['D_change', 'D_percent']",[0.60280374 0.78037383 0.8364486  0.82629108 0.78873239],0.7056726260730599,0.7668539325842697,0.7341801132400206,0.3216090845609018,0.3303974847722892,0.32294712686023036
5,"['begin_D', 'begin_B', 'begin_CP', 'end_CP', 'end_C', 'D_change', 'C_change', 'D_percent', 'B_percent', 'CP_percent', 'C_percent']",[0.14485981 0.11214953 0.09813084 0.15492958 0.38028169],0.28322681269797867,0.17790262172284643,0.20271229956886447,0.1723888429153799,0.16167620415671147,0.14065504716444013
6,"['begin_B', 'begin_CP', 'begin_C', 'begin_OOA', 'end_D', 'end_B', 'D_change', 'B_change', 'B_percent', 'CP_percent', 'C_percent', 'OOA_percent']",[0.1588785  0.14018692 0.1635514  0.19248826 0.30516432],0.3178433420771154,0.19194756554307116,0.21818264097547058,0.2116334245336192,0.19878133925926722,0.1746025584622494
7,"['begin_D', 'end_D', 'D_change', 'OOA_change']",[0.17757009 0.1682243  0.13084112 0.17840376 0.1971831 ],0.2981317910915875,0.1704119850187266,0.18985856029493542,0.20200040599924193,0.19577505485586366,0.16490156068234033
8,"['begin_D', 'begin_CP', 'end_D', 'C_change', 'C_percent']",[0.1635514  0.1728972  0.12616822 0.16901408 0.19248826],0.2824189296296019,0.1647940074906367,0.18152124187096055,0.19370546213028061,0.19135928780530242,0.15859899857429668
9,"['begin_D', 'begin_CP', 'end_D', 'D_change', 'B_change', 'C_change', 'D_percent']",[0.1635514  0.1728972  0.12616822 0.17370892 0.21126761],0.29255818902902364,0.1694756554307116,0.1889038360907278,0.20070124526627006,0.1930790713843883,0.16355879301609963
