begin_sha,end_sha,commits,additions,deletions,changed_files,total_time,begin_Dispensables,begin_Bloaters,begin_Change Preventers,begin_Couplers,begin_Object-Orientation Abusers,end_Dispensables,end_Bloaters,end_Change Preventers,end_Couplers,end_Object-Orientation Abusers,cluster,timedelta,formatted_duration
7da66e21ba9009010563d9638059815e862ef21c,e3868fabdf560c7e15d385268424f34dadffde0b,1,2,6,2,69539000000000,940,530.0,530.0,338.0,338.0,886.0,506.0,506.0,298.0,701.0,0,0 days 19:18:59,0 days 19:18:59
4465c494db0fa7ace133e8232a85d2b5790ed22d,9e348de653adc0e13be571501ba52d7cc534616e,1,6,2,1,477262000000000,940,530.0,530.0,337.0,337.0,1870.0,1022.0,1022.0,740.0,1424.0,0,5 days 12:34:22,5 days 12:34:22
73b339a55d0e9911c19b6931f3ce7706a2e87047,ec2f36cbd0ab6a1e4d3015d9eee0b3e01b062623,1,2,13,1,64858000000000,940,530.0,530.0,338.0,338.0,885.0,506.0,506.0,298.0,700.0,0,0 days 18:00:58,0 days 18:00:58
73b339a55d0e9911c19b6931f3ce7706a2e87047,7da66e21ba9009010563d9638059815e862ef21c,2,13,3,1,49462000000000,940,530.0,530.0,338.0,338.0,885.0,506.0,506.0,298.0,700.0,0,0 days 13:44:22,0 days 13:44:22
73b339a55d0e9911c19b6931f3ce7706a2e87047,4465c494db0fa7ace133e8232a85d2b5790ed22d,3,107,100,3,121272000000000,940,530.0,530.0,338.0,338.0,914.0,507.0,507.0,317.0,700.0,0,1 days 09:41:12,1 days 09:41:12
73b339a55d0e9911c19b6931f3ce7706a2e87047,628623d6644dfa8598c96f70bab41383b157fb56,2,13,6,3,462601000000000,940,530.0,530.0,338.0,338.0,886.0,506.0,506.0,298.0,701.0,0,5 days 08:30:01,5 days 08:30:01
19d9aa38c048aa7e5beb5406210278339ba0d017,c9becb3196b4502ef1caaa8485df627cba191527,3,565,0,2,1117415000000000,940,530.0,530.0,338.0,338.0,886.0,506.0,506.0,298.0,701.0,0,12 days 22:23:35,12 days 22:23:35
2fa1e5ab3b105cf82ead0b5789ff827771bdd74b,c592d9c857c14f638d2aba0d1ff6d51f4d3d03e1,2,7,11,1,95933000000000,940,530.0,530.0,338.0,338.0,885.0,508.0,508.0,298.0,700.0,0,1 days 02:38:53,1 days 02:38:53
2fa1e5ab3b105cf82ead0b5789ff827771bdd74b,5da39f8cb861dcb120892d9bfc9f3b709f81e5de,2,6,6,4,11021000000000,940,530.0,530.0,338.0,338.0,885.0,508.0,508.0,298.0,700.0,0,0 days 03:03:41,0 days 03:03:41
6b1c62a88f1270b50fff3c445b85c9e07825fc39,dd952d4aaeb41a665c7b8a808abdaca5050219c6,2,47,17,6,412650000000000,940,530.0,530.0,338.0,338.0,885.0,508.0,508.0,298.0,700.0,0,4 days 18:37:30,4 days 18:37:30
170222e378745128b47a4e92e796166b84f379dc,0349c8e8a9b5a6df50fb525e60e6c33e772f116f,3,94,0,1,548761000000000,940,530.0,530.0,338.0,338.0,916.0,508.0,508.0,316.0,703.0,0,6 days 08:26:01,6 days 08:26:01
